origin_index,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,prep_Geography_0,prep_Geography_1,prep_Gender_0,prep_Gender_1,prep_Age,prep_Balance,prep_CreditScore,prep_EstimatedSalary,prep_HasCrCard,prep_IsActiveMember,prep_NumOfProducts,prep_Tenure,TCR-prob_0,TCR-prob_1,TCR-pred_Exited,Exited,result_key
0,9157,15679551,Colombo,504,Spain,Female,46,2,163764.84,1,1,1,165122.55,0,1,0,1,46.0,163764.84,504.0,165122.55,1.0,1.0,1.0,2.0,0.7454368455693758,0.2545631544306242,0,1,20241204-151534
1,949,15783659,Blackburn,659,France,Male,67,4,145981.87,1,1,1,131043.2,1,0,1,0,67.0,145981.87,659.0,131043.2,1.0,1.0,1.0,4.0,0.9058977277777848,0.09410227222221519,0,0,20241204-151534
2,8966,15811032,Gambrell,477,Germany,Female,58,8,145984.92,1,1,1,24564.7,1,1,0,1,58.0,145984.92,477.0,24564.7,1.0,1.0,1.0,8.0,0.617923734648621,0.3820762653513789,0,0,20241204-151534
3,1896,15649418,Krylov,776,France,Female,29,7,178171.04,2,1,1,115818.51,1,0,0,1,29.0,178171.04,776.0,115818.51,1.0,1.0,2.0,7.0,0.9344062326169353,0.06559376738306466,0,0,20241204-151534
4,6042,15749472,Lucciano,775,France,Male,45,8,0.0,1,1,0,130376.68,1,0,1,0,45.0,0.0,775.0,130376.68,1.0,0.0,1.0,8.0,0.4855900506087518,0.5144099493912482,1,0,20241204-151534
5,1312,15750497,Longo,850,France,Female,37,7,153147.75,1,1,1,152235.3,1,0,0,1,37.0,153147.75,850.0,152235.3,1.0,1.0,1.0,7.0,0.9422470032373638,0.0577529967626362,0,0,20241204-151534
6,7119,15661412,Wardell,715,France,Male,32,8,175307.32,1,1,0,187051.23,1,0,1,0,32.0,175307.32,715.0,187051.23,1.0,0.0,1.0,8.0,0.8554731056860685,0.14452689431393148,0,0,20241204-151534
7,7062,15789201,Thomson,603,Germany,Female,35,9,145623.36,1,1,0,163181.62,1,1,0,1,35.0,145623.36,603.0,163181.62,1.0,0.0,1.0,9.0,0.6776568143338578,0.3223431856661422,0,0,20241204-151534
8,436,15581197,Ricci,762,France,Female,51,3,99286.98,1,0,1,85578.63,1,0,0,1,51.0,99286.98,762.0,85578.63,0.0,1.0,1.0,3.0,0.6018927706809943,0.39810722931900566,0,0,20241204-151534
9,8855,15630857,Wu,674,Spain,Female,39,6,0.0,2,1,1,9574.83,0,1,0,1,39.0,0.0,674.0,9574.83,1.0,1.0,2.0,6.0,0.9691486821162092,0.030851317883790856,0,0,20241204-151534
