origin_index,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,prep_Geography_0,prep_Geography_1,prep_Gender_0,prep_Gender_1,prep_Age,prep_Balance,prep_CreditScore,prep_EstimatedSalary,prep_HasCrCard,prep_IsActiveMember,prep_NumOfProducts,prep_Tenure,TCR-prob_0,TCR-prob_1,TCR-pred_Exited,Exited,result_key
0,2391,15599251,Chung,602,Germany,Male,32,7,184715.86,2,1,0,113781.99,1,1,1,0,32.0,184715.86,602.0,113781.99,1.0,0.0,2.0,7.0,0.9576752826113883,0.04232471738861167,0,0,20241203-161226
1,6804,15594515,Cheng,568,France,Female,44,7,0.0,2,0,0,62370.67,1,0,0,1,44.0,0.0,568.0,62370.67,0.0,0.0,2.0,7.0,0.901461739434609,0.09853826056539092,0,1,20241203-161226
2,3227,15796351,Yao,603,Germany,Male,35,1,105346.03,2,1,1,130379.5,1,1,1,0,35.0,105346.03,603.0,130379.5,1.0,1.0,2.0,1.0,0.9429861007390701,0.05701389926092993,0,0,20241203-161226
3,8631,15786042,Willmore,706,Germany,Female,44,2,185932.18,2,1,0,65413.41,1,1,0,1,44.0,185932.18,706.0,65413.41,1.0,0.0,2.0,2.0,0.6916483654821114,0.3083516345178886,0,0,20241203-161226
4,4899,15722122,Findlay,544,France,Female,40,7,0.0,1,0,1,161076.92,1,0,0,1,40.0,0.0,544.0,161076.92,0.0,1.0,1.0,7.0,0.7232073441209076,0.2767926558790924,0,0,20241203-161226
5,305,15812191,Brennan,553,France,Male,33,4,118082.89,1,0,0,94440.45,1,0,1,0,33.0,118082.89,553.0,94440.45,0.0,0.0,1.0,4.0,0.9189101255759884,0.08108987442401165,0,0,20241203-161226
6,1653,15675501,Woods,616,France,Male,59,5,153861.1,1,1,1,17699.48,1,0,1,0,59.0,153861.1,616.0,17699.48,1.0,1.0,1.0,5.0,0.7768814665222247,0.2231185334777753,0,0,20241203-161226
7,4204,15640922,Demaine,791,France,Female,52,7,0.0,1,1,1,122782.5,1,0,0,1,52.0,0.0,791.0,122782.5,1.0,1.0,1.0,7.0,0.44198329673325953,0.5580167032667405,1,0,20241203-161226
8,2074,15573309,Ward,626,Spain,Female,48,2,0.0,2,1,1,95794.98,0,1,0,1,48.0,0.0,626.0,95794.98,1.0,1.0,2.0,2.0,0.9087011213401383,0.09129887865986178,0,0,20241203-161226
9,4441,15760121,Maynard,712,France,Male,32,9,100606.02,1,1,0,165693.06,1,0,1,0,32.0,100606.02,712.0,165693.06,1.0,0.0,1.0,9.0,0.9290570867760478,0.07094291322395221,0,0,20241203-161226
10,2399,15633877,Morrison,706,Spain,Female,42,8,95386.82,1,1,1,75732.25,0,1,0,1,42.0,95386.82,706.0,75732.25,1.0,1.0,1.0,8.0,0.8498556398830881,0.1501443601169119,0,0,20241203-161226
11,5058,15606386,Wang,753,Germany,Female,46,3,111512.75,3,1,0,159576.75,1,1,0,1,46.0,111512.75,753.0,159576.75,1.0,0.0,3.0,3.0,0.022655638360849384,0.9773443616391506,1,1,20241203-161226
12,3695,15609704,Mao,608,France,Female,33,4,0.0,1,1,0,79304.38,1,0,0,1,33.0,0.0,608.0,79304.38,1.0,0.0,1.0,4.0,0.7952419064701948,0.2047580935298052,0,1,20241203-161226
13,631,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,1,0,0,1,61.0,0.0,589.0,61108.56,1.0,0.0,1.0,1.0,0.03987636731273492,0.9601236326872651,1,1,20241203-161226
14,7210,15788131,Atkins,653,France,Male,47,6,0.0,1,1,0,50695.93,1,0,1,0,47.0,0.0,653.0,50695.93,1.0,0.0,1.0,6.0,0.33883928806270747,0.6611607119372925,1,1,20241203-161226
15,1873,15706593,Ellis,850,Spain,Female,50,10,0.0,2,1,1,33741.84,0,1,0,1,50.0,0.0,850.0,33741.84,1.0,1.0,2.0,10.0,0.8725850663758992,0.12741493362410086,0,0,20241203-161226
16,1613,15649121,Pinto,665,France,Male,52,3,0.0,1,1,0,116137.01,1,0,1,0,52.0,0.0,665.0,116137.01,1.0,0.0,1.0,3.0,0.20050132655091568,0.7994986734490843,1,1,20241203-161226
17,7148,15712877,Morley,724,Spain,Male,36,1,0.0,2,1,0,52462.25,0,1,1,0,36.0,0.0,724.0,52462.25,1.0,0.0,2.0,1.0,0.9630778177154917,0.036922182284508255,0,0,20241203-161226
