num,email,firstname,lastname
1,candy@example.com, John, Candy
2,ahepburn@example.com, Audrey, Hepburn
3,monroe@example.com, Marilyn, Monroe
4,anne@example.com, Anne, Bancroft
5,john@example.com,John,Goodman
6,dustin@example.com, Dustin, Hoffman
7,don@example.com, Don, Draper
8,sally@example.com, Sally, Chin
9,eve@example.com, Eve, Plumb
10,jennifer@example.com, Jennifer, Hudson
11,jamie@example.com, Jamie, Lee Curtis
12,dorothy@example.com, Dorothy, Mackaill
13,elizabeth@example.com, Elizabeth, Taylor
14,carol@example.com, Carol, Dempster
15,bette@example.com, Bette, Midler
16,diana@example.com, Diana, Muldaur
17,susannah@example.com, Susannah, York
