Campaign,Clicked,"Clicked_Date","Clicked_Trained",Customer,Department,Email,"First_Name","Last_Name",MaxDate,Opened,"Opened_Clicked","Opened_Date","Reg_Date","Reg_Sent",Sent,"Sent_Date","Sent_Opened",Trained,"Trained_Date"
Sales,0,,,Company,IT,"jack.marbles@company.com",Jack,Marbles,"1415986558.510",0,,,"1415986546.477",12,1,"1415986558.510",,0,
Sales,0,,,Company,IT,"john@company.com",John,Nobles,"1415986558.527",0,,,"1415986546.480",12,1,"1415986558.527",,0,
Sales,0,,,Company,IT,"jack.marbles@company.com",Jack,Marbles,"1415986603.573",0,,,"1415986599.267",4,1,"1415986603.573",,0,
Sales,0,,,Company,IT,"john@company.com",John,Nobles,"1415986603.583",0,,,"1415986599.270",4,1,"1415986603.583",,0,
Sales,1,"1415986991.077",47,Company,IT,"jack.marbles@company.com",Jack,Marbles,"1415987038.027",0,0,"1415986991.077","1415986908.840",10,1,"1415986918.673",73,1,"1415987038.027"
Sales,1,"1415987028.383",8,Company,IT,"john@company.com",John,Nobles,"1415987036.013",0,0,"1415987028.383","1415986908.843",10,1,"1415986918.680",110,1,"1415987036.013"
Sales,1,"1415986140.450",217,Company,IT,"jack.marbles@company.com",Jack,Marbles,"1415986357.973",0,0,"1415986140.450","1415986108.127",0,1,"1415986108.373",32,1,"1415986357.973"
Sales,1,"1415986203.043",48,Company,IT,"john@company.com",John,Nobles,"1415986251.357",0,0,"1415986203.043","1415986108.140",0,1,"1415986108.383",95,1,"1415986251.357"
"Social Network",1,"1416330239.147",20,Company,Marketing,"john@company.com",John,Nobles,"1416330259.533",0,0,"1416330239.147","1416253232.883",4,1,"1416253236.247",77003,1,"1416330259.533"
"Social Network",1,"1416253347.973",43,Company,Sales,"steve@company.com",Steve,Gomes,"1416253390.183",0,0,"1416253347.973","1416253232.897",4,1,"1416253236.253",111,1,"1416253390.183"
"Social Network",1,"1416327971.570",0,Company,Law,"marcus@company.com",Marcus,Lester,"1416327971.570",0,0,"1416327971.570","1416255657.667",10,1,"1416255667.193",72304,0,"1416327971.570"
"Social Network",0,,,Company,"Back Office","melissa.landrou@company.com",Melissa,Landrou,"1416255667.203",0,,,"1416255657.680",10,1,"1416255667.203",,0,
"Social Network",1,"1416333731.793",237,Company,RH,"stela@company.com",Stela,Andrews,"1416333968.977",0,0,"1416333731.793","1416255657.680",10,1,"1416255667.213",78064,1,"1416333968.977"
"Social Network",0,,,Company,Sales,"robert.castro@company.com",Robert,Castro,"1416255667.223",0,,,"1416255657.687",10,1,"1416255667.223",,0,
"Social Network",0,,,Company,Marketing,"kennedy@company.com",Kennedy,William,"1416255667.230",0,,,"1416255657.687",10,1,"1416255667.230",,0,
Finnancial,1,"1417461580.323",7,Company,Marketing,"john@company.com",John,Nobles,"1417461587.947",0,0,"1417461580.323","1417457302.420",1,1,"1417457303.533",4277,1,"1417461587.947"
Finnancial,1,"1417461384.190",37,Company,Sales,"steve@company.com",Steve,Gomes,"1417461421.173",0,0,"1417461384.190","1417457302.423",1,1,"1417457303.540",4081,1,"1417461421.173"
Finnancial,0,,,Company,Law,"marcus@company.com",Marcus,Lester,"1417523342.113",1,,"1417523342.113","1417521231.293",6,1,"1417521237.150",2105,0,
Finnancial,0,,,Company,"Back Office","melissa.landrou@company.com",Melissa,Landrou,"1417530072.673",1,,"1417530072.673","1417521231.293",6,1,"1417521237.153",8835,0,
Finnancial,0,,,Company,RH,"stela@company.com",Laura,James,"1417521237.160",0,,,"1417521231.307",6,1,"1417521237.160",,0,
Finnancial,0,,,Company,Sales,"robert.castro@company.com",Robert,Castro,"1417521237.170",0,,,"1417521231.310",6,1,"1417521237.170",,0,
Finnancial,1,"1417632911.223",0,Company,Marketing,"kennedy@company.com",Kennedy,William,"1417632911.223",1,2,"1417632909.570","1417521231.310",6,1,"1417521237.177",111672,0,"1417632911.223"
