AircraftCondition,AssetNum,BilledOn,BoomOpA.FirstName,BoomOpA.LastName,BoomOpAEmployeeNum,BoomOpB.FirstName,BoomOpB.LastName,BoomOpBEmployeeNum,ClientRecordID,ClientType,Company,CompletedOn,CustomerCode,DeviceID,Driver.FirstName,Driver.LastName,DriverEmployeeNum,EditedByEmployeeNum,Flagged,FleetType,FlightNum,GHRGallons,GearOnly,GeoPosition.Lat,GeoPosition.Lon,IceTransactionGUID,IceTransactionGroupID,IceTransactionID,InspectionOnly,LastPostFailMessage,LastPostFailureOn,LicenseKey,Notes,Pad,PostFailCount,PostedOn,PostedToHost,PostedVia,PrecipCode,Slot,SourceAddress,StationID,SupercededByID,TactileCheck,TailNum,TeamLeadEmployeeNum,TrainingMode,Type1FreezePoint,Type1GallonsA,Type1GallonsB,Type1GallonsEnteredManually,Type1KFactor,Type1Percent,Type1Position1,Type1Position2,Type1Position3,Type1Position4,Type1PulseCount,Type1Start,Type1Stop,Type1Temp,Type4GallonsA,Type4GallonsB,Type4GallonsEnteredManually,Type4KFactor,Type4Position1,Type4Position2,Type4Position3,Type4Position4,Type4PulseCount,Type4Start,Type4Stop,WeatherCode,eventtype,host,index,linecount,punct,source,sourcetype,splunk_server,splunk_server_group,timestamp,_bkt,_cd,_eventtype_color,_indextime,_si,_sourcetype,_time
Frost,25,0,Carroll,Tucker,8815,Marva,Mccray,6406,6431,Deicer,AviataSystems,1.58278E+12,Delta Airlines,5e5fedb6054b18c6887e3e14,Bright,Wilcox,6355,7749,FALSE,A319,,236,FALSE,35.21382,-80.943054,d6f678fd-8b37-4dad-85df-9cfae70184a3,677,5e5fedb6cbaa71a7d147a75b,FALSE,,0,d69c88b8-dd4c-423b-86fd-9ab0ef474345,,1,0,1.58068E+12,kclt.aviatasystems,Network,,0,70.147.152.220,KCLT,0,TRUE,N747UW,9690,FALSE,3,239,276,FALSE,0.115385,39,TRUE,FALSE,FALSE,TRUE,808,1.58142E+12,1.58099E+12,180,70,179,FALSE,0.0173913,FALSE,TRUE,FALSE,TRUE,56,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.840277778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,5,0,Abigail,Wong,3275,Karina,Coleman,7163,5922,Deicer,AviataSystems,1.57799E+12,Delta Airlines,5e5fedb62dfc0267143399dc,Hess,Beck,9803,1468,FALSE,A319,,251,FALSE,35.21386,-80.943052,45ab7ea2-fe83-4f5c-ba9b-76acc7e90b75,275,5e5fedb610da5f8cd93c05c5,FALSE,,0,c0e7144c-bddf-4d94-befe-caa942ee9be1,,0,0,1.58276E+12,kclt.aviatasystems,Network,,0,70.147.152.220,KCLT,0,FALSE,N747UW,7160,TRUE,3,223,203,TRUE,0.115385,39,FALSE,TRUE,TRUE,FALSE,439,1.57893E+12,1.5792E+12,180,247,280,TRUE,0.0173913,FALSE,FALSE,TRUE,FALSE,573,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.784027778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,26,0,Susie,Vaughan,3025,Tonya,Cobb,390,5895,Deicer,AviataSystems,1.57979E+12,American Airlines,5e5fedb654e0dee95886a24f,Brady,Andrews,6847,276,TRUE,A320,,74,FALSE,35.21386,-80.943004,18e1abcb-0c49-4bf7-a2fd-c1e7f11e5da1,920,5e5fedb6fb236ccb486b7445,FALSE,,0,99502a03-8213-404a-9924-8af5616ae0ac,,2,0,1.57955E+12,kclt.aviatasystems,Network,,1,70.147.152.220,KCLT,0,TRUE,N123UW,565,TRUE,3,75,275,FALSE,0.115385,39,FALSE,FALSE,FALSE,FALSE,341,1.58164E+12,1.57889E+12,180,22,146,FALSE,0.0173913,FALSE,FALSE,FALSE,FALSE,701,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.727777778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,30,0,Hoffman,Rosales,9785,Mccray,Rosario,5912,3352,Deicer,AviataSystems,1.58228E+12,American Airlines,5e5fedb60ba03d8214e3f5c4,Lora,Fitzgerald,5330,3913,FALSE,A319,,89,FALSE,35.21385,-80.943034,18da7412-3695-4af7-bfd9-371ca4f7673c,852,5e5fedb6a2fd62a80f4b8174,TRUE,,0,c63a225c-2a36-419b-902d-c2c5c5befab1,,0,0,1.57804E+12,kclt.aviatasystems,Network,,4,70.147.152.220,KCLT,0,FALSE,N747UW,903,FALSE,3,130,240,FALSE,0.115385,39,FALSE,TRUE,TRUE,FALSE,631,1.57856E+12,1.58179E+12,180,173,280,TRUE,0.0173913,TRUE,FALSE,TRUE,TRUE,689,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.671527778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,28,0,Elizabeth,Warner,7287,Evelyn,Chaney,2885,5739,Deicer,AviataSystems,1.58158E+12,American Airlines,5e5fedb6d923025f83306208,Gill,Francis,1460,4664,FALSE,A320,,26,FALSE,35.21382,-80.943031,c103eba8-14b9-44d0-8840-b7efb6e69635,653,5e5fedb6fa80864b986b6bd7,FALSE,,0,40c1b887-aefd-4b66-9fd9-df5b649317a2,,2,0,1.57875E+12,kclt.aviatasystems,Network,,0,70.147.152.220,KCLT,0,FALSE,N123UW,8320,TRUE,3,270,54,FALSE,0.115385,39,TRUE,FALSE,FALSE,TRUE,287,1.57909E+12,1.58099E+12,180,115,74,FALSE,0.0173913,TRUE,FALSE,TRUE,TRUE,837,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.615277778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,29,0,June,Bass,7704,Turner,Tillman,8552,3224,Deicer,AviataSystems,1.57915E+12,United Airlines,5e5fedb658ac8362a639a332,Etta,Davis,3035,2570,FALSE,A319,,181,TRUE,35.21387,-80.943006,bf0e3846-0867-4fe0-bccd-8072a1a7cbde,20,5e5fedb632a58ab589f4eeb4,TRUE,,0,ba9758c0-a6aa-40d8-9665-faebb1812c9a,,2,0,1.57926E+12,kclt.aviatasystems,Network,,2,70.147.152.220,KCLT,0,FALSE,N747UW,8220,TRUE,3,105,83,TRUE,0.115385,39,FALSE,TRUE,FALSE,FALSE,228,1.57856E+12,1.5792E+12,180,155,287,FALSE,0.0173913,TRUE,FALSE,TRUE,FALSE,459,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.559027778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,30,0,Whitley,Swanson,2027,Janet,Bryant,5127,5044,Deicer,AviataSystems,1.57849E+12,American Airlines,5e5fedb64162fb5c02a79840,Minnie,Bright,3768,4057,TRUE,A319,,216,FALSE,35.21385,-80.943014,af2f8dcd-62dd-462f-977c-468880cd73d5,342,5e5fedb6f2dc009481899bde,TRUE,,0,19a49827-8f49-475b-be51-2c296fb765c7,,2,0,1.57923E+12,kclt.aviatasystems,Network,,2,70.147.152.220,KCLT,0,FALSE,N747UW,5117,FALSE,3,37,49,FALSE,0.115385,39,FALSE,FALSE,TRUE,TRUE,725,1.57988E+12,1.57927E+12,180,11,96,TRUE,0.0173913,TRUE,TRUE,TRUE,TRUE,309,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.502777778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,18,0,Gray,Hahn,9607,Clarissa,Tran,3700,5175,Deicer,AviataSystems,1.58188E+12,American Airlines,5e5fedb6392cc8c06f766b8a,Johnnie,Nguyen,7591,9215,TRUE,A320,,51,TRUE,35.21382,-80.943006,04e90df3-86a7-4750-a137-8e6757074224,591,5e5fedb69fa6d2be97090fb9,TRUE,,0,27879cea-8510-4eb0-9ea4-99faf8dc5824,,1,0,1.58046E+12,kclt.aviatasystems,Network,,4,70.147.152.220,KCLT,0,TRUE,N123UW,4539,TRUE,3,264,96,FALSE,0.115385,39,TRUE,FALSE,FALSE,TRUE,151,1.58044E+12,1.58231E+12,180,51,180,TRUE,0.0173913,FALSE,FALSE,FALSE,FALSE,918,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.446527778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,12,0,Benjamin,Morales,745,Sheree,Jones,1115,2781,Deicer,AviataSystems,1.58188E+12,United Airlines,5e5fedb690379a9a0be39ada,Mckee,Livingston,3992,9430,TRUE,A319,,16,TRUE,35.21382,-80.943034,087185e7-6b80-4a22-96bc-3d3e32a3d170,725,5e5fedb632ffeb09ed7f391c,TRUE,,0,e690a40a-a02e-4eca-9f7f-9b915116e4cb,,3,0,1.57961E+12,kclt.aviatasystems,Network,,4,70.147.152.220,KCLT,0,FALSE,N747UW,8229,TRUE,3,266,188,FALSE,0.115385,39,TRUE,FALSE,TRUE,TRUE,832,1.58247E+12,1.58159E+12,180,151,57,FALSE,0.0173913,TRUE,FALSE,FALSE,FALSE,745,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.390277778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,12,0,Lorrie,Watts,162,Eva,Stephens,5451,5274,Deicer,AviataSystems,1.58306E+12,Delta Airlines,5e5fedb62235939e6b0750aa,Washington,Delaney,529,9575,FALSE,A319,,271,FALSE,35.21386,-80.943018,9b2ea44c-3d45-474e-96cb-b862dd2855be,741,5e5fedb6308cbeea6fa306ce,FALSE,,0,d9de5cfc-f6d6-4e72-bf7b-ede03e946bec,,2,0,1.58115E+12,kclt.aviatasystems,Network,,1,70.147.152.220,KCLT,0,FALSE,N747UW,3713,FALSE,3,299,176,TRUE,0.115385,39,TRUE,FALSE,TRUE,FALSE,494,1.57987E+12,1.57878E+12,180,0,212,TRUE,0.0173913,TRUE,TRUE,TRUE,FALSE,282,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.334027778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
