"ACQUIRER_COUNTRY","ACQUIRER_CURRENCY","ACQUIRER_POST_DATE","ACTUAL_COMM_FEE","ACTUAL_TRAN_FEE",AMOUNT01,AMOUNT02,AMOUNT03,AMOUNT04,AMOUNT05,"APPROVE_CODE","AT_BRANCH","AVAIL_BAL","CARD_BANK","CARD_BRANCH","CARD_CITY","CARD_RETAIN_FLAG","CARD_TYPE","DATE_KEY","FOR_BRANCH","FROM_CHANNEL","FROM_SYSTEM","Fraud_Flag","Incident_Region","Incident_Town","LEDGER_BAL",Latitude,Longitude,"MESSAGE_TYPE","ORFT_ACCT_OWNER","ORFT_CARD_OWNER","ORFT_TERM_OWNER","PROCESS_DATE","PROCESS_TIME",PostCode,"PostCode_2","REQUEST_AMT",StreetName,"TELLER_ID","TELLER_NO","TERMINAL_ID","TERM_BANK","TERM_BRANCH","TERM_CITY","TERM_TYPE","THF_PROCESS_MODE","TLF_ACQUIRER_TRACE","TNX_ID","TRAN_SEQNO","TRAN_TIME","Transaction Date","Transaction Hour","UP_COUNTRY_FLAG","_raw","_time","customer_name",eventtype,"extracted_linecount",host,index,linecount,postcode,punct,source,sourcetype,"splunk_server","splunk_server_group",timestamp,"tnx_time"
764,764,"02-Dec-13",0,0,1500,0,0,1500,1500,989254,700,0,25,700,0,0,,"02/12/2013",700,EATM,EBS,1,"Greater London",Kensington,0,"51.4994271","-0.1643685",210,0,0,1,"02-Dec-13",165635,"SW3 1JJ",1JJ,1500,"102 Brompton Road, Knightsbridge",Z,1055,S1A1055R,25,700,10,30,0,150841,158418,2718,165634,"02/12/2013",16,0,"158418,764,764,02-Dec-13,0,0,1500,0,0,1500,1500,989254,700,0,25,700,0,0,,02/12/2013,700,EATM,EBS,Greater London,Kensington,0,51.4994271,-0.1643685,210,0,0,1,02-Dec-13,165635,SW3 1JJ,1JJ,1500,""102 Brompton Road, Knightsbridge"",Z,1055,S1A1055R,25,700,10,30,0,150841,2718,165634,02/12/2013,16,0,2013-12-02 16:56:35,,1,SW3,1","2019-06-22T10:23:17.000+0000",,,1,"ch-od-38-atm-monitoring","atm_fraud",1,SW3,",,,--,,,,,,,,,,,,,,,,//,,,,_,,,.,-.,,,,,--,,_,,,""_","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-02 16:56:35"
764,764,"10-Dec-13",0,0,0,"39.98","39.98","1.53",0,0,700,"39.98",25,598,0,0,55,"10/12/2013",598,EATM,EBS,1,"Greater London",Paddington,"39.98","51.518865","-0.169429",110,0,0,0,"10-Dec-13",141626,"W2 1NJ",1NJ,0,"15-17 Praed Street,Paddington,London",Z,1054,S1A1054R,25,700,11,30,0,611256,32069,2188,141625,"10/12/2013",14,0,"32069,764,764,10-Dec-13,0,0,0,39.98,39.98,1.53,0,0,700,39.98,25,598,0,0,55,10/12/2013,598,EATM,EBS,Greater London,Paddington,39.98,51.518865,-0.169429,110,0,0,0,10-Dec-13,141626,W2 1NJ,1NJ,0,""15-17 Praed Street,Paddington,London"",Z,1054,S1A1054R,25,700,11,30,0,611256,2188,141625,10/12/2013,14,0,2013-12-10 14:16:26,Account Holder 10855,1,W2,1","2019-06-22T10:23:17.000+0000","Account Holder 10855",,1,"ch-od-38-atm-monitoring","atm_fraud",1,W2,",,,--,,,,.,.,.,,,,.,,,,,,//,,,,_,,.,.,-.,,,,,--,,_","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-10 14:16:26"
764,764,"10-Dec-13",0,0,0,"417.4","417.4","0.09",0,0,700,"417.4",25,598,0,0,10,"10/12/2013",598,EATM,EBS,1,"Greater London",Paddington,"417.4","51.518865","-0.169429",110,0,0,0,"10-Dec-13",135544,"W2 1NJ",1NJ,0,"15-17 Praed Street,Paddington,London",Z,1054,S1A1054R,25,700,11,30,0,605554,32370,2182,135543,"10/12/2013",13,0,"32370,764,764,10-Dec-13,0,0,0,417.4,417.4,0.09,0,0,700,417.4,25,598,0,0,10,10/12/2013,598,EATM,EBS,Greater London,Paddington,417.4,51.518865,-0.169429,110,0,0,0,10-Dec-13,135544,W2 1NJ,1NJ,0,""15-17 Praed Street,Paddington,London"",Z,1054,S1A1054R,25,700,11,30,0,605554,2182,135543,10/12/2013,13,0,2013-12-10 13:55:44,Account Holder 10423,1,W2,1","2019-06-22T10:23:17.000+0000","Account Holder 10423",,1,"ch-od-38-atm-monitoring","atm_fraud",1,W2,",,,--,,,,.,.,.,,,,.,,,,,,//,,,,_,,.,.,-.,,,,,--,,_","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-10 13:55:44"
764,764,"02-Dec-13",0,0,15000,"20.6","20.6","1.62",0,0,700,"20.6",25,649,0,0,55,"02/12/2013",649,EATM,EBS,1,"Greater London",Paddington,"20.6","51.518865","-0.169429",210,0,0,0,"02-Dec-13",123130,"W2 1NJ",1NJ,15000,"15-17 Praed Street,Paddington,London",Z,1054,S1A1054R,25,700,11,30,0,25281,174375,4196,123130,"02/12/2013",12,0,"174375,764,764,02-Dec-13,0,0,15000,20.6,20.6,1.62,0,0,700,20.6,25,649,0,0,55,02/12/2013,649,EATM,EBS,Greater London,Paddington,20.6,51.518865,-0.169429,210,0,0,0,02-Dec-13,123130,W2 1NJ,1NJ,15000,""15-17 Praed Street,Paddington,London"",Z,1054,S1A1054R,25,700,11,30,0,25281,4196,123130,02/12/2013,12,0,2013-12-02 12:31:30,Account Holder 59052,1,W2,1","2019-06-22T10:23:17.000+0000","Account Holder 59052",,1,"ch-od-38-atm-monitoring","atm_fraud",1,W2,",,,--,,,,.,.,.,,,,.,,,,,,//,,,,_,,.,.,-.,,,,,--,,_","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-02 12:31:30"
764,764,"02-Dec-13",0,0,8000,"175.51","175.51","3.87",0,0,700,"175.51",25,598,0,0,55,"02/12/2013",598,EATM,EBS,1,"Greater London",Paddington,"175.51","51.518865","-0.169429",210,0,0,0,"02-Dec-13",121955,"W2 1NJ",1NJ,8000,"15-17 Praed Street,Paddington,London",Z,1054,S1A1054R,25,700,11,30,0,18362,175194,4181,121955,"02/12/2013",12,0,"175194,764,764,02-Dec-13,0,0,8000,175.51,175.51,3.87,0,0,700,175.51,25,598,0,0,55,02/12/2013,598,EATM,EBS,Greater London,Paddington,175.51,51.518865,-0.169429,210,0,0,0,02-Dec-13,121955,W2 1NJ,1NJ,8000,""15-17 Praed Street,Paddington,London"",Z,1054,S1A1054R,25,700,11,30,0,18362,4181,121955,02/12/2013,12,0,2013-12-02 12:19:55,Account Holder 59332,1,W2,1","2019-06-22T10:23:17.000+0000","Account Holder 59332",,1,"ch-od-38-atm-monitoring","atm_fraud",1,W2,",,,--,,,,.,.,.,,,,.,,,,,,//,,,,_,,.,.,-.,,,,,--,,_","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-02 12:19:55"
764,764,"06-Dec-13",0,0,0,"998.16","998.16","18.02",0,0,700,"998.16",25,700,0,0,,"06/12/2013",700,EATM,EBS,1,"Greater London","Camden Town","998.16","51.5296392","-0.1239574",110,0,0,0,"06-Dec-13",114642,"NW1 2ST",2ST,0,"31 Euston Road",Z,1051,S1A1051R,25,700,10,30,0,461272,49672,6287,114641,"06/12/2013",11,0,"49672,764,764,06-Dec-13,0,0,0,998.16,998.16,18.02,0,0,700,998.16,25,700,0,0,,06/12/2013,700,EATM,EBS,Greater London,Camden Town,998.16,51.5296392,-0.1239574,110,0,0,0,06-Dec-13,114642,NW1 2ST,2ST,0,31 Euston Road,Z,1051,S1A1051R,25,700,10,30,0,461272,6287,114641,06/12/2013,11,0,2013-12-06 11:46:42,,1,NW1,1","2019-06-22T10:23:17.000+0000",,,1,"ch-od-38-atm-monitoring","atm_fraud",1,NW1,",,,--,,,,.,.,.,,,,.,,,,,,//,,,,_,_,.,.,-.,,,,,--,,","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-06 11:46:42"
764,764,"02-Dec-13",0,0,9000,0,0,"24859.57","24859.57",955001,700,0,25,777,0,0,77,"02/12/2013",777,EATM,EBS,1,"Greater London","Camden Town",0,"51.5296392","-0.1239574",210,0,0,0,"02-Dec-13",175139,"NW1 2ST",2ST,9000,"31 Euston Road",Z,1051,S1A1051R,25,700,10,30,0,184980,154883,903,175138,"02/12/2013",17,0,"154883,764,764,02-Dec-13,0,0,9000,0,0,24859.57,24859.57,955001,700,0,25,777,0,0,77,02/12/2013,777,EATM,EBS,Greater London,Camden Town,0,51.5296392,-0.1239574,210,0,0,0,02-Dec-13,175139,NW1 2ST,2ST,9000,31 Euston Road,Z,1051,S1A1051R,25,700,10,30,0,184980,903,175138,02/12/2013,17,0,2013-12-02 17:51:39,Account Holder 54338,1,NW1,1","2019-06-22T10:23:17.000+0000","Account Holder 54338",,1,"ch-od-38-atm-monitoring","atm_fraud",1,NW1,",,,--,,,,,,.,.,,,,,,,,,//,,,,_,_,,.,-.,,,,,--,,_,,","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-02 17:51:39"
764,764,"02-Dec-13",0,0,9000,"15859.57","15859.57","55.3",0,0,700,"15859.57",25,777,0,0,77,"02/12/2013",777,EATM,EBS,1,"Greater London","Camden Town","15859.57","51.5296392","-0.1239574",210,0,0,0,"02-Dec-13",175135,"NW1 2ST",2ST,9000,"31 Euston Road",Z,1051,S1A1051R,25,700,10,30,0,184946,154886,902,175135,"02/12/2013",17,0,"154886,764,764,02-Dec-13,0,0,9000,15859.57,15859.57,55.3,0,0,700,15859.57,25,777,0,0,77,02/12/2013,777,EATM,EBS,Greater London,Camden Town,15859.57,51.5296392,-0.1239574,210,0,0,0,02-Dec-13,175135,NW1 2ST,2ST,9000,31 Euston Road,Z,1051,S1A1051R,25,700,10,30,0,184946,902,175135,02/12/2013,17,0,2013-12-02 17:51:35,Account Holder 54338,1,NW1,1","2019-06-22T10:23:17.000+0000","Account Holder 54338",,1,"ch-od-38-atm-monitoring","atm_fraud",1,NW1,",,,--,,,,.,.,.,,,,.,,,,,,//,,,,_,_,.,.,-.,,,,,--,,","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-02 17:51:35"
764,764,"02-Dec-13",0,0,0,0,0,0,0,0,700,0,25,700,0,0,,"02/12/2013",700,EATM,EBS,1,"Greater London","Camden Town",0,"51.5296392","-0.1239574",230,0,0,0,"02-Dec-13",170011,"NW1 2ST",2ST,0,"31 Euston Road",Z,1051,S1A1051R,25,700,10,30,0,152638,158222,839,170011,"02/12/2013",17,0,"158222,764,764,02-Dec-13,0,0,0,0,0,0,0,0,700,0,25,700,0,0,,02/12/2013,700,EATM,EBS,Greater London,Camden Town,0,51.5296392,-0.1239574,230,0,0,0,02-Dec-13,170011,NW1 2ST,2ST,0,31 Euston Road,Z,1051,S1A1051R,25,700,10,30,0,152638,839,170011,02/12/2013,17,0,2013-12-02 17:00:11,,1,NW1,1","2019-06-22T10:23:17.000+0000",,,1,"ch-od-38-atm-monitoring","atm_fraud",1,NW1,",,,--,,,,,,,,,,,,,,,,//,,,,_,_,,.,-.,,,,,--,,_,,,_","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-02 17:00:11"
764,764,"02-Dec-13",0,0,10000,"9777.85","9777.85","23.07",0,0,700,"9777.85",25,1,0,0,10,"02/12/2013",1,EATM,EBS,1,"Greater London","Camden Town","9777.85","51.5296392","-0.1239574",210,0,0,0,"02-Dec-13",124016,"NW1 2ST",2ST,10000,"31 Euston Road",Z,1051,S1A1051R,25,700,10,30,0,30551,173697,570,124016,"02/12/2013",12,0,"173697,764,764,02-Dec-13,0,0,10000,9777.85,9777.85,23.07,0,0,700,9777.85,25,1,0,0,10,02/12/2013,1,EATM,EBS,Greater London,Camden Town,9777.85,51.5296392,-0.1239574,210,0,0,0,02-Dec-13,124016,NW1 2ST,2ST,10000,31 Euston Road,Z,1051,S1A1051R,25,700,10,30,0,30551,570,124016,02/12/2013,12,0,2013-12-02 12:40:16,Account Holder 59195,1,NW1,1","2019-06-22T10:23:17.000+0000","Account Holder 59195",,1,"ch-od-38-atm-monitoring","atm_fraud",1,NW1,",,,--,,,,.,.,.,,,,.,,,,,,//,,,,_,_,.,.,-.,,,,,--,,","ATM_Fraud_Transactions.csv",csv,"ch-od-38-atm-monitoring",,none,"2013-12-02 12:40:16"
