business_unit,email,id,job_title,name,sid,phone_number,site,splunk_role,time_zone
Unit 4,cruise_harrison@company.com,1140f6,Development Chief,Harrison Cruise,hicruis,1-571-555-1560,McLean,power,America/New_York
Unit 5,willis_samuel@company.com,1c97d5,Tech Director,Samuel Willis,sjwilli,1-410-555-9753,NBP,user,America/New_York
Production,depp_morgan@company.com,d53a5f,Chief Operations Engineer,Morgan Depp,madepp,1-703-555-8642,McLean,user,America/New_York
Automation,pitt_matthew@company.com,7dcfb0,Chief Automation Engineer,Matt Pitt,mopitt,1-410-555-9876,NBP,user,America/New_York
Threat Intelligence Center,mckellen_benedict@company.com,e5495d,Senior Operations Chief,Benedict McKellen,bamckel,44-020-555-9012,London,power,Europe/London
Network Unit,connery_ralph@company.com,12948b,Chief Technologist,Ralph Connery,roconne,44-020-555-0123,London,power,Europe/London
Production,bullock_mary@company.com,04bde2,Principle,Meryl Bullock,mybullo,1-571-555-0401,McLean,user,America/New_York
Automation,eastwood_denzel@company.com,f8ab7e,Principle,Denzel Eastwood,dzeastw,1-410-555-5555,NBP,user,America/New_York
Threat Intelligence Center,hopkins_idris@company.com,6dc7de,Chief Information Officer,Idris Hopkins,ishopki,44-020-555-1357,London,power,Europe/London
Production,skarsgard_dolph@company.com,39e68e,Chief Research Scientist,Dolph Skarsgard,deskars,46-271-555-1234,Stockholm,user,Europe/Amsterdam
Network Unit,reynolds_jim@company.com,40f7c2,Principle,Jim Reynolds,jareyno,1-647-555-5678,Toronto,power,America/New_York
Threat Intelligence Center,chopra_aamir@company.com,2b1c4d,Senior Technology Manager,Aamir Chopra,abchopr,91-832-555-2468,Goa,power,Asia/Kolkata
