Employee_Code,user,Email,Location,Mailbox,Department,AssignedRegion
1,SplunkTel\aaron,aaron@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Marketing,California
21,SplunkTel\abel,abel@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Engineering,California
22,SplunkTel\abraham,abraham@splunktel.com,PLANO,exch-mbx-pla-01,Engineering,Texas
3,SplunkTel\adam,adam@splunktel.com,DENVER,exch-mbx-den-01,Engineering,Colorado
24,SplunkTel\adrian,adrian@splunktel.com,CUPERTINO,exch-mbx-cup-00,Marketing,California
25,SplunkTel\alan,alan@splunktel.com,CUPERTINO,exch-mbx-cup-01,Engineering,California
26,SplunkTel\albert,albert@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Engineering,California
27,SplunkTel\aldo,aldo@splunktel.com,DENVER,exch-mbx-den-01,Engineering,Colorado
28,SplunkTel\alec,alec@splunktel.com,PLANO,exch-mbx-pla-00,Marketing,Texas
29,SplunkTel\alex,alex@splunktel.com,DENVER,exch-mbx-den-00,Engineering,Colorado
30,SplunkTel\alexis,alexis@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,Engineering,California
31,SplunkTel\alfonso,alfonso@splunktel.com,PLANO,exch-mbx-pla-00,Engineering,Texas
32,SplunkTel\alfred,alfred@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Engineering,California
33,SplunkTel\alonso,alonso@splunktel.com,DENVER,exch-mbx-den-01,Engineering,Colorado
34,SplunkTel\alton,alton@splunktel.com,PLANO,exch-mbx-pla-01,Engineering,Texas
35,SplunkTel\alvin,alvin@splunktel.com,PLANO,exch-mbx-pla-00,Engineering,Texas
36,SplunkTel\andrea,andrea@splunktel.com,PLANO,exch-mbx-pla-01,Sales,Texas
37,SplunkTel\andrew,andrew@splunktel.com,DENVER,exch-mbx-den-00,Sales,Colorado
38,SplunkTel\antony,antony@splunktel.com,CUPERTINO,exch-mbx-cup-01,Sales,California
39,SplunkTel\ariel,ariel@splunktel.com,PLANO,exch-mbx-pla-00,Sales,Texas
40,SplunkTel\arnold,arnold@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,Sales,California
41,SplunkTel\arthur,arthur@splunktel.com,PLANO,exch-mbx-pla-01,Sales,Texas
42,SplunkTel\ashley,ashley@splunktel.com,PLANO,exch-mbx-pla-01,Sales,Texas
43,SplunkTel\austin,austin@splunktel.com,PLANO,exch-mbx-pla-01,Sales,Texas
44,SplunkTel\avery,avery@splunktel.com,PLANO,exch-mbx-pla-01,Sales,Texas
45,SplunkTel\barney,barney@splunktel.com,PLANO,exch-mbx-pla-01,Sales,Texas
46,SplunkTel\barry,barry@splunktel.com,CUPERTINO,exch-mbx-cup-01,Sales,California
47,SplunkTel\bart,bart@splunktel.com,DENVER,exch-mbx-den-00,Sales,Colorado
48,SplunkTel\basil,basil@splunktel.com,CUPERTINO,exch-mbx-cup-01,Sales,California
49,SplunkTel\ben,ben@splunktel.com,DENVER,exch-mbx-den-01,Marketing,Colorado
50,SplunkTel\benjamin,benjamin@splunktel.com,DENVER,exch-mbx-den-01,Executive Office,Colorado
51,SplunkTel\bennett,bennett@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Engineering,California
52,SplunkTel\bernard,bernard@splunktel.com,DENVER,exch-mbx-den-00,Engineering,Colorado
53,SplunkTel\berry,berry@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Engineering,California
54,SplunkTel\bert,bert@splunktel.com,DENVER,exch-mbx-den-01,Engineering,Colorado
55,SplunkTel\bill,bill@splunktel.com,PLANO,exch-mbx-pla-01,Engineering,Texas
56,SplunkTel\blaine,blaine@splunktel.com,DENVER,exch-mbx-den-00,Engineering,Colorado
57,SplunkTel\blair,blair@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Engineering,California
58,SplunkTel\blake,blake@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,Engineering,California
59,SplunkTel\bob,bob@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,Engineering,California
60,SplunkTel\boris,boris@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,Engineering,California
61,SplunkTel\brad,brad@splunktel.com,SAN_FRANCISCO,exch-mbx-san-00,Engineering,California
62,SplunkTel\brendan,brendan@splunktel.com,DENVER,exch-mbx-den-01,Executive Office,Colorado
63,SplunkTel\brett,brett@splunktel.com,DENVER,exch-mbx-den-01,Executive Office,Colorado
64,SplunkTel\brian,brian@splunktel.com,PLANO,exch-mbx-pla-00,Executive Office,Texas
65,SplunkTel\britt,britt@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,IT,California
66,SplunkTel\brock,brock@splunktel.com,CUPERTINO,exch-mbx-cup-01,Executive Office,California
67,SplunkTel\bruce,bruce@splunktel.com,PLANO,exch-mbx-pla-00,IT,Texas
68,SplunkTel\bruno,bruno@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,IT,California
69,SplunkTel\bryan,bryan@splunktel.com,CUPERTINO,exch-mbx-cup-00,IT,California
70,SplunkTel\bryce,bryce@splunktel.com,PLANO,exch-mbx-pla-00,IT,Texas
71,SplunkTel\byron,byron@splunktel.com,DENVER,exch-mbx-den-01,IT,Colorado
72,SplunkTel\caleb,caleb@splunktel.com,DENVER,exch-mbx-den-00,IT,Colorado
73,SplunkTel\calvin,calvin@splunktel.com,CUPERTINO,exch-mbx-cup-01,IT,California
74,SplunkTel\cameron,cameron@splunktel.com,DENVER,exch-mbx-den-00,IT,Colorado
75,SplunkTel\carey,carey@splunktel.com,CUPERTINO,exch-mbx-cup-00,Marketing,California
76,SplunkTel\carl,carl@splunktel.com,SAN_FRANCISCO,exch-mbx-san-01,IT,California
77,SplunkTel\carmelo,carmelo@splunktel.com,CUPERTINO,exch-mbx-cup-01,IT,California
78,SplunkTel\carmen,carmen@splunktel.com,DENVER,exch-mbx-den-01,IT,Colorado
79,SplunkTel\carmine,carmine@splunktel.com,CUPERTINO,exch-mbx-cup-00,IT,California
