customer,status,original_balance
Aaron,active,10646
Acton,active,6313
Aimee,active,6731
Ali,active,9210
Aline,active,13487
Allistair,active,11719
Althea,active,13918
Alvin,active,9150
Amelia,active,8492
Amery,active,7034
Amy,active,10450
Ann,active,11054
Anthony,active,10149
Arden,active,11995
Baker,active,12950
Barclay,active,10051
Barrett,active,6598
Barry,active,6464
Blake,active,11088
Blossom,active,12453
Boris,active,12401
Bradley,active,11630
Brennan,active,14381
Bruno,active,6960
Cade,active,10917
Cain,active,10085
Caldwell,active,10089
Calista,active,6742
Callie,active,11507
Cally,active,12485
Calvin,active,14540
Cameron,active,8953
Cara,active,8843
Carlos,active,6203
Carson,active,1000
Caryn,active,14956
Cassidy,active,11281
Cathleen,active,9022
Cecilia,active,8407
Chancellor,active,11882
Channing,active,14370
Charity,active,11292
Chava,active,9287
Chiquita,active,6887
Christian,active,9214
Christine,active,7454
Christopher,active,8379
Ciaran,active,7686
Claire,active,12038
Clark,active,12230
Claudia,active,12323
Clayton,active,11902
Clinton,active,10288
Colby,active,7003
Constance,active,6540
Cruz,active,11781
Cynthia,active,6614
Dacey,active,6543
Damian,active,6804
Daria,active,10502
Deacon,active,8164
Dean,active,10957
Deanna,active,12576
Deirdre,active,6672
Delilah,active,13254
Derek,active,6976
Desirae,active,14401
Desiree,active,12404
Destiny,active,13253
Dexter,active,12109
Drake,active,9822
Drew,active,11957
Duncan,active,9907
Dustin,active,10280
Eagan,active,6655
Elaine,active,12545
Elijah,active,11337
Ella,active,11002
Emerson,active,13065
Emily,active,13188
Eric,active,14654
Evan,active,13142
Fallon,active,11303
Fatima,active,8073
Fulton,active,12281
Gail,active,7286
Gareth,active,14349
George,active,12345
Georgia,active,6060
Germane,active,7663
Giselle,active,8249
Glenna,active,11019
Gloria,active,14794
Grady,active,6979
Graham,active,12231
Graiden,active,11249
Gregory,active,11871
Gwendolyn,suspended,10053
Hakeem,active,14141
Hall,active,9511
Hammett,active,11377
Hannah,active,6147
Harding,active,8513
Harlan,active,14176
Harrison,active,11247
Hasad,active,7810
Hayden,terminated,10103
Hayley,active,8566
Hedley,active,9238
Hilda,active,14245
Hollee,active,12133
Holmes,active,14374
Hu,active,6421
Hunter,active,11939
Ira,active,14099
Ivana,active,7837
Jackson,active,14078
Jacob,active,6145
Jakeem,active,9320
Jamal,active,11800
Jelani,active,12596
Jerome,active,6381
Jescie,active,6509
Joseph,active,11103
Josephine,active,6029
Judah,active,11179
Judith,active,9878
Kane,active,10784
Karina,active,12372
Kasper,active,12717
Kato,active,11892
Kay,active,500
Kaye,active,6719
Keane,active,9617
Kellie,active,11740
Kelsey,active,6395
Kiayada,active,7589
Kimberley,active,7463
Kirk,active,10040
Knox,active,6395
Kuame,active,13819
Kylan,active,6788
Lacota,active,8235
Lael,active,10829
Lamar,active,10570
Lara,active,9091
Lawrence,active,12406
Len,active,12733
Leonard,active,13162
Lois,active,10012
Louis,active,11813
Luke,active,8028
Lydia,active,8332
Lyle,active,8453
MacKenzie,active,8531
Macaulay,active,8521
Macey,active,7666
Macon,active,14462
Maisie,active,11922
Malcolm,active,11014
Malik,active,13888
Mara,active,11271
Mark,active,8716
Marsden,active,13839
Maryam,active,6557
Maxwell,active,9610
Melinda,active,11022
Melyssa,active,9812
Michelle,active,14252
Moana,active,7172
Molly,active,7378
Moses,active,12257
Mufutau,active,9960
Naida,active,11586
Naomi,active,13831
Nathan,active,12249
Nehru,active,7214
Neil,active,11016
Nero,active,10177
Neville,active,8229
Nicholas,active,11180
Noel,active,11287
Nolan,active,12787
Olivia,active,9527
Omar,active,11795
Orli,active,12447
Otto,active,6610
Paloma,active,6787
Pamela,active,14893
Pandora,active,7845
Paula,active,14236
Perry,active,7226
Phillip,active,14523
Plato,active,12351
Porter,active,14005
Portia,active,11894
Prescott,active,7973
Preston,active,11202
Price,active,10046
Quon,active,13645
Rachel,active,75000
Rafael,active,9902
Rahim,active,8590
Raja,active,6153
Rajah,active,12491
Ralph,active,7521
Ramona,active,6820
Rashad,active,9152
Raymond,active,7519
Reece,active,7121
Reese,active,10508
Rhea,active,13985
Rose,active,7548
Ross,active,14987
Rylee,active,11347
Salvador,active,12680
September,active,12956
Shaeleigh,active,13530
Shaine,active,7829
Shea,active,11225
Shoshana,active,12873
Slade,active,13582
Stephen,active,14600
Stone,active,8990
Sybil,active,14061
Tad,active,9742
Tamara,active,11370
Tanner,active,14655
Tatiana,active,12269
Thaddeus,active,7654
Tiger,active,11229
Travis,active,10864
Tyrone,active,14563
Ulric,active,13628
Uriah,active,6492
Vance,active,8084
Vanna,active,9422
Vernon,active,7558
Victoria,active,13917
Vincent,active,8206
Virginia,active,10886
Wade,active,6211
Walker,active,8030
Wanda,active,9769
Whilemina,active,14597
Willow,active,14906
Winifred,active,14724
Wyatt,active,8727
Wylie,active,13780
Wynne,active,12679
Xantha,active,13892
Xanthus,active,13004
Xerxes,active,11793
Yael,active,6990
Yasir,active,8731
Yoshio,active,13119
Yvette,active,14902
Zahir,active,9451
Zeph,active,13238
Zephr,active,6861
Zia,active,13195
Zoe,active,12191
