epoch,_time,customer,employee,waived,fee
1551448940,2019/03/01 09:02:20 EST,Raymond,Charlie,yes,0
1551446719,2019/03/01 08:25:19 EST,Walker,Charlie,yes,0
1551451662,2019/03/01 09:47:42 EST,Cameron,Quinn,yes,0
1551446918,2019/03/01 08:28:38 EST,Murphy,Quinn,yes,0
1551445633,2019/03/01 08:07:13 EST,Nehru,Jean,yes,0
1551450305,2019/03/01 09:25:05 EST,Lewis,Roberts,yes,0
1551449864,2019/03/01 09:17:44 EST,Hedda,Charlie,yes,0
1551447273,2019/03/01 08:34:33 EST,Chava,Charlie,yes,0
1551447262,2019/03/01 08:34:22 EST,Cailin,Roberts,yes,0
1551447373,2019/03/01 08:36:13 EST,Rhoda,Quinn,yes,0
1551445378,2019/03/01 08:02:58 EST,Hilary,Charlie,yes,0
1551447962,2019/03/01 08:46:02 EST,Sara,Roberts,yes,0
1551446786,2019/03/01 08:26:26 EST,Kermit,Charlie,yes,0
1551447335,2019/03/01 08:35:35 EST,Harriet,Roberto,yes,0
1551448222,2019/03/01 08:50:22 EST,Baker,Jean,yes,0
1551447384,2019/03/01 08:36:24 EST,Mia,Charlie,yes,0
1551451714,2019/03/01 09:48:34 EST,Jason,Roberts,yes,0
1551451774,2019/03/01 09:49:34 EST,Jason,Jean,yes,0
1551446095,2019/03/01 08:14:55 EST,Cain,Roberto,yes,0
1551445323,2019/03/01 08:02:03 EST,Brenden,Roberto,yes,0
1551448006,2019/03/01 08:46:46 EST,Bo,Jean,yes,0
1551445809,2019/03/01 08:10:09 EST,Kareem,Jean,yes,0
1551445297,2019/03/01 08:01:37 EST,Jolie,Charlie,yes,0
1551451649,2019/03/01 09:47:29 EST,George,Jean,yes,0
1551450996,2019/03/01 09:36:36 EST,Rhea,Jean,yes,0
1551445317,2019/03/01 08:01:57 EST,Gisela,Roberto,yes,0
1551449001,2019/03/01 09:03:21 EST,Amal,Charlie,yes,0
1551445284,2019/03/01 08:01:24 EST,Lee,Charlie,yes,0
1551450230,2019/03/01 09:23:50 EST,Charlotte,Roberto,yes,0
1551445138,2019/03/01 07:58:58 EST,Hedda,Roberto,yes,0
1551448667,2019/03/01 08:57:47 EST,Zelenia,Charlie,yes,0
1551449914,2019/03/01 09:18:34 EST,Grady,Jean,yes,0
1551448813,2019/03/01 09:00:13 EST,Aquila,Roberts,yes,0
1551446033,2019/03/01 08:13:53 EST,Maggie,Charlie,yes,0
1551448617,2019/03/01 08:56:57 EST,Kylynn,Roberts,yes,0
1551448546,2019/03/01 08:55:46 EST,Ocean,Quinn,yes,0
1551448345,2019/03/01 08:52:25 EST,Penelope,Quinn,yes,0
1551445492,2019/03/01 08:04:52 EST,Gary,Roberto,yes,0
1551450407,2019/03/01 09:26:47 EST,Fritz,Quinn,yes,0
1551449327,2019/03/01 09:08:47 EST,Ezekiel,Quinn,yes,0
1551449705,2019/03/01 09:15:05 EST,Amela,Roberto,yes,0
1551449765,2019/03/01 09:16:05 EST,Amela,Roberto,yes,0
1551447051,2019/03/01 08:30:51 EST,Dora,Quinn,yes,0
1551447934,2019/03/01 08:45:34 EST,Beverly,Quinn,yes,0
1551446625,2019/03/01 08:23:45 EST,Otto,Jean,yes,0
1551445401,2019/03/01 08:03:21 EST,Beck,Jean,yes,0
1551446706,2019/03/01 08:25:06 EST,Signe,Quinn,yes,0
1551448973,2019/03/01 09:02:53 EST,Ebony,Charlie,yes,0
1551445075,2019/03/01 07:57:55 EST,Chiquita,Jean,yes,0
1551448901,2019/03/01 09:01:41 EST,Randall,Charlie,yes,0
1551448331,2019/03/01 08:52:11 EST,Demetria,Charlie,yes,0
1551449578,2019/03/01 09:12:58 EST,Garth,Jean,yes,0
1551451141,2019/03/01 09:39:01 EST,Hall,Roberto,yes,0
1551449217,2019/03/01 09:06:57 EST,Eagan,Charlie,yes,0
1551447306,2019/03/01 08:35:06 EST,Lucius,Quinn,yes,0
1551449274,2019/03/01 09:07:54 EST,Harding,Roberto,yes,0
1551446556,2019/03/01 08:22:36 EST,Omar,Roberts,yes,0
1551448693,2019/03/01 08:58:13 EST,Yvonne,Roberto,yes,0
1551446315,2019/03/01 08:18:35 EST,Madonna,Roberto,yes,0
1551447986,2019/03/01 08:46:26 EST,Randall,Roberto,yes,0
1551445986,2019/03/01 08:13:06 EST,Zenia,Quinn,yes,0
1551450609,2019/03/01 09:30:09 EST,Gil,Jean,yes,0
1551447900,2019/03/01 08:45:00 EST,Fitzgerald,Roberto,yes,0
1551451390,2019/03/01 09:43:10 EST,Macaulay,Roberts,yes,0
