epoch,_time,customer,amount,action,channel
1550754692,2019/02/21 08:11:32 EST,Forrest,529,withdrawal,branch
1550781170,2019/02/21 15:32:50 EST,Yardley,243,withdrawal,branch
1550786025,2019/02/21 16:53:45 EST,Scott,148,withdrawal,branch
1550780882,2019/02/21 15:28:02 EST,Norman,870,withdrawal,mobile
1550772432,2019/02/21 13:07:12 EST,Uriel,677,withdrawal,branch
1550793163,2019/02/21 18:52:43 EST,May,762,withdrawal,phone
1550786618,2019/02/21 17:03:38 EST,Chandler,613,withdrawal,branch
1550774272,2019/02/21 13:37:52 EST,Hashim,499,withdrawal,phone
1550752090,2019/02/21 07:28:10 EST,Raven,875,withdrawal,mobile
1550741959,2019/02/21 04:39:19 EST,Jayme,906,withdrawal,phone
1550797269,2019/02/21 20:01:09 EST,Beck,269,withdrawal,branch
1550755822,2019/02/21 08:30:22 EST,Julian,728,withdrawal,mobile
1550747909,2019/02/21 06:18:29 EST,Hyatt,580,withdrawal,branch
1550745226,2019/02/21 05:33:46 EST,Hadassah,351,withdrawal,branch
1550781801,2019/02/21 15:43:21 EST,Karleigh,437,withdrawal,mobile
1550740087,2019/02/21 04:08:07 EST,Kai,326,withdrawal,branch
1550798730,2019/02/21 20:25:30 EST,Perry,329,withdrawal,mobile
1550774258,2019/02/21 13:37:38 EST,Carlos,151,withdrawal,phone
1550750468,2019/02/21 07:01:08 EST,Daquan,702,withdrawal,branch
1550750528,2019/02/21 07:02:08 EST,Daquan,760,withdrawal,mobile
1550747716,2019/02/21 06:15:16 EST,Signe,603,withdrawal,branch
1550766955,2019/02/21 11:35:55 EST,Hermione,592,withdrawal,phone
1550762845,2019/02/21 10:27:25 EST,Gloria,642,withdrawal,phone
1550786269,2019/02/21 16:57:49 EST,Arsenio,698,withdrawal,branch
1550773885,2019/02/21 13:31:25 EST,Bernard,150,withdrawal,mobile
1550749780,2019/02/21 06:49:40 EST,Zephr,993,withdrawal,phone
1550749836,2019/02/21 06:50:36 EST,Raven,166,withdrawal,mobile
1550780619,2019/02/21 15:23:39 EST,Hedley,701,withdrawal,phone
1550785979,2019/02/21 16:52:59 EST,Mallory,350,withdrawal,phone
1550778527,2019/02/21 14:48:47 EST,Tobias,532,withdrawal,mobile
1550788960,2019/02/21 17:42:40 EST,Eric,871,withdrawal,phone
1550743255,2019/02/21 05:00:55 EST,Tasha,389,withdrawal,phone
1550759067,2019/02/21 09:24:27 EST,Cherokee,157,withdrawal,branch
1550769645,2019/02/21 12:20:45 EST,Harrison,212,withdrawal,branch
1550764457,2019/02/21 10:54:17 EST,Brent,263,withdrawal,phone
1550786183,2019/02/21 16:56:23 EST,Jakeem,544,withdrawal,branch
1550764961,2019/02/21 11:02:41 EST,Wendy,984,withdrawal,branch
1550784088,2019/02/21 16:21:28 EST,Ifeoma,802,withdrawal,phone
1550787286,2019/02/21 17:14:46 EST,Vanna,679,withdrawal,mobile
1550766471,2019/02/21 11:27:51 EST,Zahir,221,withdrawal,mobile
1550764660,2019/02/21 10:57:40 EST,Yuri,943,withdrawal,phone
1550751000,2019/02/21 07:10:00 EST,Jolie,445,withdrawal,phone
1550754886,2019/02/21 08:14:46 EST,Chiquita,727,withdrawal,mobile
1550749726,2019/02/21 06:48:46 EST,Bruce,617,withdrawal,phone
1550742879,2019/02/21 04:54:39 EST,Iona,600,withdrawal,mobile
1550768711,2019/02/21 12:05:11 EST,Vaughan,722,withdrawal,mobile
1550790229,2019/02/21 18:03:49 EST,Vance,211,withdrawal,mobile
1550767320,2019/02/21 11:42:00 EST,Yvette,814,withdrawal,mobile
1550757553,2019/02/21 08:59:13 EST,Burton,525,withdrawal,mobile
1550799522,2019/02/21 20:38:42 EST,Kelly,317,withdrawal,mobile
1550759037,2019/02/21 09:23:57 EST,Kaye,446,withdrawal,phone
1550741808,2019/02/21 04:36:48 EST,May,931,withdrawal,branch
1550760023,2019/02/21 09:40:23 EST,Amery,174,withdrawal,phone
1550772225,2019/02/21 13:03:45 EST,Keegan,517,withdrawal,phone
1550767353,2019/02/21 11:42:33 EST,Brian,611,withdrawal,branch
1550794767,2019/02/21 19:19:27 EST,Lester,203,withdrawal,mobile
1550767309,2019/02/21 11:41:49 EST,Hoyt,671,withdrawal,mobile
1550744834,2019/02/21 05:27:14 EST,Abra,105,withdrawal,mobile
1550763145,2019/02/21 10:32:25 EST,Inez,346,withdrawal,phone
1550751818,2019/02/21 07:23:38 EST,Berk,867,withdrawal,branch
1550784083,2019/02/21 16:21:23 EST,Carissa,293,withdrawal,mobile
1550764280,2019/02/21 10:51:20 EST,Violet,794,withdrawal,mobile
1550773015,2019/02/21 13:16:55 EST,Chase,433,withdrawal,branch
1550771831,2019/02/21 12:57:11 EST,Shaine,181,withdrawal,phone
1550741206,2019/02/21 04:26:46 EST,Carol,784,withdrawal,phone
1550775519,2019/02/21 13:58:39 EST,Melinda,351,withdrawal,branch
