epoch,_time,customer,amount
1551457879,2019/03/01 11:31:19 EST,Calista,2539
1551469993,2019/03/01 14:53:13 EST,Caryn,4965
1551455633,2019/03/01 10:53:53 EST,Neil,859
1551421548,2019/03/01 01:25:48 EST,Harlan,4861
1551459278,2019/03/01 11:54:38 EST,Winifred,1619
1551480129,2019/03/01 17:42:09 EST,Rachel,50000
1551479431,2019/03/01 17:30:31 EST,Mufutau,1859
1551409444,2019/02/28 22:04:04 EST,Lydia,2221
1551467829,2019/03/01 14:17:09 EST,Carson,1356
1551460316,2019/03/01 12:11:56 EST,September,3080
1551450984,2019/03/01 09:36:24 EST,Lacota,2491
1551422223,2019/03/01 01:37:03 EST,Hasad,3236
1551467737,2019/03/01 14:15:37 EST,Victoria,3051
1551427536,2019/03/01 03:05:36 EST,Lara,2180
1551410217,2019/02/28 22:16:57 EST,Josephine,4225
1551421040,2019/03/01 01:17:20 EST,Damian,2545
1551414445,2019/02/28 23:27:25 EST,Jacob,1206
1551434855,2019/03/01 05:07:35 EST,Clayton,4583
1551434745,2019/03/01 05:05:45 EST,Kay,4242
1551399869,2019/02/28 19:24:29 EST,Maryam,1191
1551471443,2019/03/01 15:17:23 EST,Alvin,3324
1551476095,2019/03/01 16:34:55 EST,Harrison,1202
1551423522,2019/03/01 01:58:42 EST,Walker,2789
1551410551,2019/02/28 22:22:31 EST,Giselle,4938
1551432241,2019/03/01 04:24:01 EST,Fallon,4536
1551455204,2019/03/01 10:46:44 EST,Bruno,2914
1551401235,2019/02/28 19:47:15 EST,Claudia,762
1551479605,2019/03/01 17:33:25 EST,Orli,4544
1551405050,2019/02/28 20:50:50 EST,Ira,3316
1551471777,2019/03/01 15:22:57 EST,Duncan,3408
1551470392,2019/03/01 14:59:52 EST,Kane,2811
1551442269,2019/03/01 07:11:09 EST,September,845
1551442317,2019/03/01 07:11:57 EST,Anthony,2869
1551462395,2019/03/01 12:46:35 EST,Cecilia,4328
1551443799,2019/03/01 07:36:39 EST,Xanthus,628
1551428621,2019/03/01 03:23:41 EST,Harrison,936
1551467089,2019/03/01 14:04:49 EST,Aline,4631
1551477528,2019/03/01 16:58:48 EST,Amy,4902
1551430691,2019/03/01 03:58:11 EST,Evan,3003
1551424523,2019/03/01 02:15:23 EST,Yvette,3418
1551437000,2019/03/01 05:43:20 EST,Zahir,1984
1551412608,2019/02/28 22:56:48 EST,Marsden,1452
1551460152,2019/03/01 12:09:12 EST,Calista,3514
1551481172,2019/03/01 17:59:32 EST,Destiny,2611
1551478447,2019/03/01 17:14:07 EST,Cade,1811
1551449133,2019/03/01 09:05:33 EST,Raja,415
1551407050,2019/02/28 21:24:10 EST,Cade,2038
1551414502,2019/02/28 23:28:22 EST,Nathan,2695
1551400923,2019/02/28 19:42:03 EST,Graiden,4904
1551422985,2019/03/01 01:49:45 EST,Claire,2491
1551410994,2019/02/28 22:29:54 EST,Lois,174
