epoch,_time,customer,status,original_balance
1550769406,2019/02/21 12:16:46 EST,Aaron,active,10646
1550771320,2019/02/21 12:48:40 EST,Acton,active,6313
1550768032,2019/02/21 11:53:52 EST,Aimee,active,6731
1550769050,2019/02/21 12:10:50 EST,Ali,active,9210
1550770645,2019/02/21 12:37:25 EST,Aline,active,13487
1550769937,2019/02/21 12:25:37 EST,Allistair,active,11719
1550771598,2019/02/21 12:53:18 EST,Althea,active,13918
1550770159,2019/02/21 12:29:19 EST,Alvin,active,9150
1550769415,2019/02/21 12:16:55 EST,Amelia,active,8492
1550771184,2019/02/21 12:46:24 EST,Amery,active,7034
1550768158,2019/02/21 11:55:58 EST,Amy,active,10450
1550769108,2019/02/21 12:11:48 EST,Ann,active,11054
1550769838,2019/02/21 12:23:58 EST,Anthony,active,10149
1550768932,2019/02/21 12:08:52 EST,Arden,active,11995
1550771043,2019/02/21 12:44:03 EST,Baker,active,12950
1550770034,2019/02/21 12:27:14 EST,Barclay,active,10051
1550770789,2019/02/21 12:39:49 EST,Barrett,active,6598
1550768163,2019/02/21 11:56:03 EST,Barry,active,6464
1550770353,2019/02/21 12:32:33 EST,Blake,active,11088
1550768924,2019/02/21 12:08:44 EST,Blossom,active,12453
1550770299,2019/02/21 12:31:39 EST,Boris,active,12401
1550768991,2019/02/21 12:09:51 EST,Bradley,active,11630
1550770849,2019/02/21 12:40:49 EST,Brennan,active,14381
1550770993,2019/02/21 12:43:13 EST,Bruno,active,6960
1550768091,2019/02/21 11:54:51 EST,Cade,active,10917
1550768811,2019/02/21 12:06:51 EST,Cain,active,10085
1550770861,2019/02/21 12:41:01 EST,Caldwell,active,10089
1550771081,2019/02/21 12:44:41 EST,Calista,active,6742
1550769812,2019/02/21 12:23:32 EST,Callie,active,11507
1550770089,2019/02/21 12:28:09 EST,Cally,active,12485
1550771118,2019/02/21 12:45:18 EST,Calvin,active,14540
1550770323,2019/02/21 12:32:03 EST,Cameron,active,8953
1550768912,2019/02/21 12:08:32 EST,Cara,active,8843
1550770060,2019/02/21 12:27:40 EST,Carlos,active,6203
1550769926,2019/02/21 12:25:26 EST,Carson,active,1000
1550770667,2019/02/21 12:37:47 EST,Caryn,active,14956
1550770407,2019/02/21 12:33:27 EST,Cassidy,active,11281
1550770776,2019/02/21 12:39:36 EST,Cathleen,active,9022
1550769335,2019/02/21 12:15:35 EST,Cecilia,active,8407
1550770212,2019/02/21 12:30:12 EST,Chancellor,active,11882
1550770525,2019/02/21 12:35:25 EST,Channing,active,14370
1550770910,2019/02/21 12:41:50 EST,Charity,active,11292
1550771618,2019/02/21 12:53:38 EST,Chava,active,9287
1550768988,2019/02/21 12:09:48 EST,Chiquita,active,6887
1550770775,2019/02/21 12:39:35 EST,Christian,active,9214
1550770777,2019/02/21 12:39:37 EST,Christine,active,7454
1550771262,2019/02/21 12:47:42 EST,Christopher,active,8379
1550769323,2019/02/21 12:15:23 EST,Ciaran,active,7686
1550768570,2019/02/21 12:02:50 EST,Claire,active,12038
1550771520,2019/02/21 12:52:00 EST,Clark,active,12230
1550771024,2019/02/21 12:43:44 EST,Claudia,active,12323
1550769409,2019/02/21 12:16:49 EST,Clayton,active,11902
1550770366,2019/02/21 12:32:46 EST,Clinton,active,10288
1550770351,2019/02/21 12:32:31 EST,Colby,active,7003
1550768795,2019/02/21 12:06:35 EST,Constance,active,6540
1550770928,2019/02/21 12:42:08 EST,Cruz,active,11781
1550770616,2019/02/21 12:36:56 EST,Cynthia,active,6614
1550769837,2019/02/21 12:23:57 EST,Dacey,active,6543
1550768835,2019/02/21 12:07:15 EST,Damian,active,6804
1550769208,2019/02/21 12:13:28 EST,Daria,active,10502
1550770143,2019/02/21 12:29:03 EST,Deacon,active,8164
1550769905,2019/02/21 12:25:05 EST,Dean,active,10957
1550769053,2019/02/21 12:10:53 EST,Deanna,active,12576
1550770867,2019/02/21 12:41:07 EST,Deirdre,active,6672
1550768382,2019/02/21 11:59:42 EST,Delilah,active,13254
1550769427,2019/02/21 12:17:07 EST,Derek,active,6976
1550769955,2019/02/21 12:25:55 EST,Desirae,active,14401
1550769021,2019/02/21 12:10:21 EST,Desiree,active,12404
1550768482,2019/02/21 12:01:22 EST,Destiny,active,13253
1550770548,2019/02/21 12:35:48 EST,Dexter,active,12109
1550770945,2019/02/21 12:42:25 EST,Drake,active,9822
1550769896,2019/02/21 12:24:56 EST,Drew,active,11957
1550768256,2019/02/21 11:57:36 EST,Duncan,active,9907
1550768921,2019/02/21 12:08:41 EST,Dustin,active,10280
1550769487,2019/02/21 12:18:07 EST,Eagan,active,6655
1550769597,2019/02/21 12:19:57 EST,Elaine,active,12545
1550768123,2019/02/21 11:55:23 EST,Elijah,active,11337
1550769595,2019/02/21 12:19:55 EST,Ella,active,11002
1550771081,2019/02/21 12:44:41 EST,Emerson,active,13065
1550770581,2019/02/21 12:36:21 EST,Emily,active,13188
1550769588,2019/02/21 12:19:48 EST,Eric,active,14654
1550769184,2019/02/21 12:13:04 EST,Evan,active,13142
1550769985,2019/02/21 12:26:25 EST,Fallon,active,11303
1550769805,2019/02/21 12:23:25 EST,Fatima,active,8073
1550770401,2019/02/21 12:33:21 EST,Fulton,active,12281
1550771575,2019/02/21 12:52:55 EST,Gail,active,7286
1550768827,2019/02/21 12:07:07 EST,Gareth,active,14349
1550769164,2019/02/21 12:12:44 EST,George,active,12345
1550768321,2019/02/21 11:58:41 EST,Georgia,active,6060
1550770137,2019/02/21 12:28:57 EST,Germane,active,7663
1550768585,2019/02/21 12:03:05 EST,Giselle,active,8249
1550770704,2019/02/21 12:38:24 EST,Glenna,active,11019
1550769422,2019/02/21 12:17:02 EST,Gloria,active,14794
1550769063,2019/02/21 12:11:03 EST,Grady,active,6979
1550768356,2019/02/21 11:59:16 EST,Graham,active,12231
1550768747,2019/02/21 12:05:47 EST,Graiden,active,11249
1550769677,2019/02/21 12:21:17 EST,Gregory,active,11871
